Sales in thousands,4-year resale value,Prices,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,
0.11,20.94,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,
0.916,58.47,69.725,8,450,96.2,75.7,176.7,3.375,19,16,
0.954,18.07297521,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,
1.112,11.24,18.145,3.1,150,107,69.4,192,3.102,15.2,25,
1.28,60.625,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,
1.38,39,62,4.2,310,113,74,198.2,3.902,23.7,21,
1.526,18.07297521,41,2.3,185,94.5,67.5,157.3,2.975,14,27,
1.866,67.55,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,
1.872,18.07297521,43,3.5,253,113.3,76.3,165.4,2.85,12,21,
3.311,58.6,82.6,5,302,99,71.3,177.1,4.125,21.1,20,
3.334,18.07297521,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,
3.493,18.07297521,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,
3.545,18.07297521,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,
4.734,12.545,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,
5.223,10.79,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,
5.24,9.8,16.08,2,132,108,71,186.3,2.942,16,27,
5.596,13.76,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,
5.711,16.575,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,
6.375,40.375,54.005,4,290,112.2,72,196.7,3.89,22.5,22,
6.536,25.725,39.665,4.6,275,108,75.5,200.6,3.843,19,22,
7.854,12.36,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,
7.998,18.07297521,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,
8.472,18.07297521,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,
8.588,29.725,42,3.5,210,114.6,71.4,196.6,3.85,18,22,
8.982,41.25,41.43,2.7,217,95.2,70.1,171,2.778,17,22,
9.126,18.07297521,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,
9.191,18.07297521,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,
9.231,28.675,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,
9.569,16.575,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,
9.761,11.425,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,
9.835,34.08,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,
11.185,18.225,31.01,3,200,107.4,70.3,194.8,3.77,18,22,
11.337,19.125,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,
11.592,18.07297521,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,
12.115,18.07297521,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,
12.698,32.075,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,
12.855,17.525,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,
