Id,Neighborhood,LotFrontage,LotArea,number of bedrooms,Street,Alley,OverallQual,OverallCond,Date,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,SquareFootage,Heating,HeatingQC,SaleType,SaleCondition,Price
1,RL,65,8450,2,Pave,NA,7,5,2003,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,WD,Normal,208500
2,RL,80,9600,3,Pave,NA,6,8,1976,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,WD,Normal,181500
3,RL,68,11250,3,Pave,NA,7,5,2001,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,WD,Normal,223500
4,RL,60,9550,3,Pave,NA,7,5,1915,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,WD,Abnorml,140000
5,RL,84,,2,Pave,NA,8,5,2000,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,WD,Normal,250000
6,RL,85,14115,3,Pave,NA,5,5,1993,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,WD,Normal,143000
7,RL,75,10084,3,Pave,NA,8,5,2004,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,WD,Normal,307000
8,RL,NA,10382,3,Pave,NA,7,6,1973,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,WD,Normal,200000
9,RM,51,6120,2,Pave,NA,7,5,1931,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,WD,Abnorml,129900
10,RL,50,7420,2,Pave,NA,5,6,1939,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,WD,Normal,118000
11,RL,70,,2,Pave,NA,5,5,1965,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,WD,Normal,129500
12,RL,85,11924,2,Pave,NA,9,5,2005,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,New,Partial,345000
13,RL,NA,12968,3,Pave,NA,5,6,1962,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,WD,Normal,144000
14,RL,91,10652,3,Pave,NA,7,5,2006,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,New,Partial,279500
15,RL,NA,10920,2,Pave,NA,6,5,1960,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,WD,Normal,157000
16,RM,51,6120,3,Pave,NA,7,8,1929,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,WD,Normal,132000
17,RL,NA,11241,3,Pave,NA,6,7,1970,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,WD,Normal,149000
18,RL,72,10791,3,Pave,NA,4,5,1967,NA,NA,NA,0,NA,0,0,0,GasA,TA,WD,Normal,90000
19,RL,66,13695,3,Pave,NA,5,5,2004,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,WD,Normal,159000
20,RL,70,7560,3,Pave,NA,5,6,1958,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,COD,Abnorml,139000
21,RL,101,14215,3,Pave,NA,8,5,2005,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,New,Partial,325300
22,RM,57,7449,2,Pave,Grvl,7,7,1930,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,WD,Normal,139400
23,RL,75,9742,3,Pave,NA,8,5,2002,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,WD,Normal,230000
24,RM,44,4224,2,Pave,NA,5,7,1976,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,WD,Normal,129900
25,RL,NA,8246,3,Pave,NA,5,8,1968,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,WD,Normal,154000
26,RL,110,14230,3,Pave,NA,8,5,2007,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,WD,Normal,256300
27,RL,60,7200,4,Pave,NA,5,7,1951,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,WD,Normal,134800
28,RL,98,11478,2,Pave,NA,8,5,2007,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,WD,Normal,306000
29,RL,47,16321,2,Pave,NA,5,6,1957,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,WD,Normal,207500
30,RM,60,6324,2,Pave,NA,4,6,1927,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,WD,Normal,68500
31,C (all),50,8500,3,Pave,Pave,4,4,1920,TA,No,Unf,0,Unf,0,649,649,GasA,TA,WD,Normal,40000
